Question,Options,Answer,Explanation
"What are two characteristics of the public cloud? Each correct answer presents a complete solution.;NOTE: Each correct selection is worth one point.",Dedicated hardware;Unsecured connections;Limited storage;Metered pricing;Self-service management,34,link1
"Your network contains an Active Directory forest. The forest contains 5,000 user accounts.;Your company plans to migrate all network resources to Azure and to decommission the on-premises data center.;You need to recommend a solution to minimize the impact on users after the planned migration.;What should you recommend?",Implement Azure Multi-Factor Authentication (MFA);Sync all the Active Directory user accounts to Azure Active Directory (Azure AD);Instruct all users to change their password;Create a guest user account in Azure Active Directory (Azure AD) for each user,1,link2
"This question requires that you evaluate the CAPS text to determine if it is correct:;AUTHORIZATION is the process of verifying a user's credentials.",No change is needed;Authentication;Federation;Ticketing,1,Link3
"Your Azure environment contains multiple Azure virtual machines.;You need to ensure that a virtual machine named VM1 is accessible from the Internet over HTTP.;Solution: You modify an Azure Traffic Manager profile. Does this meet the goal?",Yes;No,1,Link4
"Your company has 10 offices. You plan to generate several billing reports from the Azure portal.;Each report will contain the Azure resource utilization of each office.;Which Azure Resource Manager feature should you use before you generate the reports?",tags;templates;locks;policies,0,
"You attempt to create several managed Microsoft SQL Server instances in an Azure environment and receive a message that you must increase your ;Azure subscription limits. What should you do to increase the limits?",Create a service health alert;Upgrade your support plan;Modify an Azure policy;Create a new support request,3,
"This question requires that you evaluate the CAPS text to determine if it is correct:;An Azure region contains one or more data centers that ARE CONNECTED BY USING A LOW-LATENCY NETWORK.",No change is needed;Is found in each country where Microsoft has a subsidiary office;Can be found in every country in Europe and the Americas only;Contains one or more data centers that are connect by using a high-latency network,0,
"This question requires that you evaluate the CAPS text to determine if it is correct:;When planning to migrate a public website to Azure, you must PLAN TO PAY MONTHLY USAGE COSTS.",No change is needed;Deploy a VPN;pay to transfer all the website data to Azure;reduce the number of connections to the website,0,
"A support engineer plans to perform several Azure management tasks by using the Azure CLI. You install the CLI on a computer.;You need to tell the support engineer which tools to use to run the CLI.;Which two tools should you instruct the support engineer to use? Each correct answer presents a complete solution.;NOTE: Each correct selection is worth one point.",Command Prompt;Azure Resource Explorer;Windows PowerShell;Windows Defender Firewall;Network and Sharing Center,02,
"You plan to deploy several Azure virtual machines.;You need to ensure that the services running on the virtual machines are available if a single data center fails.;Solution: You deploy the virtual machines to two or more availability zones.;Does this meet the goal?",Yes;No,0,
"Your company plans to migrate all its data and resources to Azure.The company's migration plan states that only platform as a service (PaaS) solutions ;must be used in Azure.You need to deploy an Azure environment that supports the planned migration.;Solution: You create an Azure App Service and Azure virtual machines that have Microsoft SQL Server installed.;Does this meet the goal?",Yes;No,1,
"Your company has several business units.;Each business unit requires 20 different Azure resources for daily operation. All the business units require the same type of Azure resources.;You need to recommend a solution to automate the creation of the Azure resources. What should you include in the recommendations?",Azure Resource Manager templates;virtual machine scale sets;the Azure API Management service;management groups,0,
"Your company plans to purchase Azure.;The company's support policy states that the Azure environment must provide an option to access support engineers by phone or email.;You need to recommend which support plan meets the support policy requirement.;Solution: Recommend a Premier support plan. Does this meet the goal?",Yes;No,0,"https://azure.microsoft.com/en-gb/support/plans/"
"You have an Azure environment. You need to create a new Azure virtual machine from an Android laptop.;Solution: You use PowerShell in Azure Cloud Shell. Does this meet the goal?",Yes;No,0,
"Your company hosts an accounting named App1 that is used by all the customers of the company.;App1 has low usage during the first three weeks of each month and very high usage during the last week of each month.;Which benefit of Azure Cloud Services supports cost management for this type of usage pattern?",high availability;high latency;elasticity;load balancing,2,
"Your Azure environment contains multiple Azure virtual machines.;You need to ensure that a virtual machine named VM1 is accessible from the Internet over HTTP. Solution: You modify a DDoS protection plan.;Does this meet the goal?:",Yes;No,1,
"This question requires that you evaluate the CAPS text to determine if it is correct:;If a resource group named RG1 has a delete lock, ONLY A MEMBER OF THE GLOBAL ADMINISTRATORS GROUP CAN DELETE RG1.",No change is needed.;the delete lock must be removed before an administrator;an Azure policy must be modified before an administrator;an Azure tag must be added before an administrator,1,
"Your company plans to move several servers to Azure.;The company's compliance policy states that a server named FinServer must be on a separate network segment;You are evaluating which Azure services can be used to meet the compliance policy requirements.;Which Azure solution should you recommend?",a resource group for FinServer and another resource group for all the other servers;a virtual network for FinServer and another virtual network for all the other servers;a VPN for FinServer and a virtual network gateway for each other server;one resource group for all the servers and a resource lock for FinServer,3,
"This question requires that you evaluate the CAPS text to determine if it is correct:;When you are implementing a software as a service (SaaS) solution, you are responsible for configuring high availability.",No change is needed.;defining scalability rules;installing the SaaS solution;configuring the SaaS solution,3,
"This question requires that you evaluate the CAPS text to determine if it is correct:;AZURE POLICIES PROVIDE a common platform for deploying objects to a cloud infrastructure and for implementing consistency across the;Azure environment.",No change is needed;Resource groups provide;Azure Resource Manager provides;Management groups provide,2,
"Your company has an Azure subscription that contains the following unused resources:;20 user accounts in Azure Active Directory (Azure AD) Five groups in Azure AD;10 public IP addresses 10 network interfaces;You need to reduce the Azure costs for the company. Solution: You remove the unused groups.;Does this meet your goal?",Yes;No,1,
"What is guaranteed in an Azure Service Level Agreement (SLA)?",uptime;feature availability;bandwidth;performance,1,"https://azure.microsoft.com/en-us/support/legal/sla/summary/"
"This question requires that you evaluate the CAPS text to determine if it is correct:;An Azure service is available to all Azure customers when it is in PUBLIC PREVIEW.",No change is needed.;private preview;development;an Enterprise Agreement (EA) subscription,0,"https://www.neowin.net/news/several-more-azure-services-now-available-in-private-public-preview/"
"An Azure administrator plans to run a PowerShell script that creates Azure resources. You need to recommend which computer configuration to use to run the script.;Solution: Run the script from a computer that runs macOS and has PowerShell Core 6.0 installed. Does this meet the goal?",Yes;No,0,
"You need to configure an Azure solution that meets the following requirements:;Secures websites from attacks;Generates reports that contain details of attempted attacks.;What should you include in the solution?",Azure Firewall;a network security group (NSG);Azure Information Protection;DDoS protection,3,
"This question requires that you evaluate the CAPS text to determine if it is correct:;Your company implements AZURE POLICIES to automatically add a watermark to Microsoft Word documents that contain credit card information.",No change is needed.;DDoS protection;Azure Information Protection;Azure Active Directory (Azure AD) Identity Protection,2,
"An Azure administrator plans to run a PowerShell script that creates Azure resources. You need to recommend which computer configuration to use to;run the script.;Solution: Run the script from a computer that runs Linux and has the Azure CLI tools installed. Does this meet the goal?",Yes;No,1,
"You have a resource group named RG1.;You plan to create virtual networks and app services in RG1.;You need to prevent the creation of virtual machines only in RG1. What should you use?",a lock;an Azure role;a tag;an Azure policy,0,
"You have an on-premises network that contains 100 servers.;You need to recommend a solution that provides additional resources to your users. The solution must minimize capital and operational expenditure costs.;What should you include in the recommendation?",a complete migration to the public cloud;an additional data center;a private cloud;a hybrid cloud,2,
"You have an Azure environment that contains multiple Azure virtual machines. You plan to implement a solution that enables the client computers on your;on-premises network to communicate to the Azure virtual machines. You need to recommend which Azure resources must be created for the planned;solution. Which two Azure resources should you include in the recommendation? Each correct answer presents part of the solution.;NOTE: Each correct selection is worth one point.",a virtual network gateway;a load balancer;an application gateway;a virtual network;a gateway subnet,34,
"You need to identify the type of failure for which an Azure availability zone can be used to protect access to Azure services.;What should you identify?",a physical server failure;an Azure region failure;a storage failure;an Azure data center failure,3,
"This question requires that you evaluate the CAPS text to determine if it is correct:;After you create a virtual machine, you need to modify the NETWORK SECURITY GROUP (NSG) to allow connections from TCP port 8080.",No change is needed;virtual network gateway;virtual network;route table,0,
"This question requires that you evaluate the CAPS text to determine if it is correct:;Azure Germany can be used by LEGAL RESIDENTS OF GERMANY ONLY.",no change is needed;only enterprises that are registered in Germany;only enterprises that purchase their azure licenses from a partner based in Germany;any user or enterprise that requires its data to reside in Germany,3,
"Which Azure service should you use to correlate events from multiple resources into a centralized repository?",Azure Event Hubs;Azure Analysis Services;Azure Monitor;Azure Log Analytics,3,
"What can Azure Information Protection encrypt?",an Azure Storage account;documents and email messages;an Azure SQL database;network traffic,0,
"This question requires that you evaluate the CAPS text to determine if it is correct:;You have several virtual machines in an Azure subscription. You create a new subscription.;THE VIRTUAL MACHINES CANNOT BE MOVED TO THE NEW SUBSCRIPTION.",No change is needed;The virtual machines can be moved to the new subscription;The virtual machines can be moved to the new subscription only if they are all in the same resource group;The virtual machines can be moved to the new subscription only if they run Windows Server 2016.,1,
"You have 1,000 virtual machines hosted on the Hyper-V hosts in a data center.;You plan to migrate all the virtual machines to an Azure pay-as-you-go subscription.;You need to identify which expenditure model to use for the planned Azure solution. Which expenditure model should you identify?",operational;elastic;capital;scalable,0,
"Your company has an Azure environment that contains resources in several regions.;A company policy states-that administrators must only be allowed to create additional Azure resources in a region in the country where their office is located.;You need to create the Azure resource that must be used to meet the policy requirement. What should you create?",a read-only lock;a reservation;an Azure policy;a management group,2,
"In which Azure support plans can you open a new support request?","Premier and Professional Direct only;Premier, Professional Direct, and Standard only;Premier, Professional Direct, Standard, and Developer only;Premier, Professional Direct, Standard, Developer, and Basic",2,
"Which blade should you identify for the following task?;Monitor the health of Azure Services",Monitor;Subscriptions;Marketplace;Advisor,0,
"Which blade should you identify for the following task?;Browse available virtual machine images",Monitor;Subscriptions;Marketplace;Advisor,2,
"Which blade should you identify for the following task?;View security recommendations",Monitor;Subscriptions;Marketplace;Advisor,3,
"To implement an Azure Multi-factor Authentication (MFA) solution, you must deploy a federation solution or sync on-premises identities to the cloud.",Yes;No,1,
"Two valid methods for Azure Multi-Factor Authentication (MFA) are picture identification and a passport number.",Yes;No,1,
"Azure Multi-Factor Authentication (MFA) can be required for administrative and non-administrative user accounts.",Yes;No,0,
"Azure Advisor provide recommendations on how to improve the security of an Azure Active Directory (Azure AD) environment.",Yes;No,1,
"Azure Advisor provides recommendations on how to reduce the cost of running Azure virtual machines.",Yes;No,0,
"Azure Advisor provides recommendations on how to configure the network settings on Azure virtual machines.",Yes;No,1,
"The Service Level Agreement (SLA) guaranteed uptime for paid Azure services is at least 99.9 percent.",Yes;No,0,
"Companies can increase the Service Level Agreement (SLA) guaranteed uptime by adding Azure resources to multiple regions.",Yes;No,0,
"Companies can increase the Service Level Agreement (SLA) guaranteed uptime by purchasing multiple subscriptions.",Yes;No,1,
"You plan to create an Azure virtual machine.;Which storage service must be used to store the data disks of the virtual machine?",Blobs;Files;Tables;Queues,3,"https://docs.microsoft.com/en-us/azure/storage/common/storage-introduction"
"Which cloud deployment is used for Azure virtual machines?",Infrastructure as a Service (IaaS);Platform as a Service (PaaS);Software as a Service (SaaS),1,
"Which cloud deployment is used for Azure SQL database?",Infrastructure as a Service (IaaS);Platform as a Service (PaaS);Software as a Service (SaaS),0,
"Azure provides flexibility between capital expenditure (CapEx) and operational expenditure (OpEx).",Yes;No,0,
"If you create two Azure virtual machines that use the B2S size, each virtual machine will always generate the same monthly costs.",Yes;No,1,
"When an Azure virtual machine is stopped, you continue to pay storage costs associated to the virtual machine.",Yes;No,0,
"An Azure service in private preview is released to all Azure customers.",Yes;No,1,
"An Azure service in public preview is released to all Azure customers.",Yes;No,0,
"An Azure service in general availability is released to a subset of Azure customers.",Yes;No,1,
"Which Azure management tool can be used from the following computer?;Windows 10","The Azure CLI and the Azure portal;The Azure portal and Azure PowerShell;The Azure CLI and Azure PowerShell;The Azure CLI, the Azure portal, and Azure PowerShell",3,
"Which Azure management tool can be used from the following computer?;Ubuntu","The Azure CLI and the Azure portal;The Azure portal and Azure PowerShell;The Azure CLI and Azure PowerShell;The Azure CLI, the Azure portal, and Azure PowerShell",3,
"Which Azure management tool can be used from the following computer?;MacOS Mojave","The Azure CLI and the Azure portal;The Azure portal and Azure PowerShell;The Azure CLI and Azure PowerShell;The Azure CLI, the Azure portal, and Azure PowerShell",3,
"If you have Azure resources deployed to every region, you can implement availability zones in all the regions.",Yes;No,1,
"Only virtual machines that run Windows Server can be created in availability zones.",Yes;No,1,
"Availability zones are used to replicate data and applications to multiple regions.",Yes;No,1,
"From Azure Service Health, an administrator can view the health of all the services deployed to an Azure environment and all the other services available;in Azure.",Yes;No,0,
"From Azure Service Health, an administrator can create a rule to be alerted if an Azure service fails.",Yes;No,0,
"From Azure Service Health, an administrator can prevent a service failure from affecting a specific virtual machine.",Yes;No,1,
"Match the term to the correct definition:;Azure Government",An organization that defines the international standards across all industries;An organization that defines standards used by the United States government;A European policy that regulates data privacy and data protection;A dedicated public cloud for federal and state agencies in the United States,3,
"Match the term to the correct definition:;GDRP",An organization that defines the international standards across all industries;An organization that defines standards used by the United States government;A European policy that regulates data privacy and data protection;A dedicated public cloud for federal and state agencies in the United States,2,
"Match the term to the correct definition:;ISO",An organization that defines the international standards across all industries;An organization that defines standards used by the United States government;A European policy that regulates data privacy and data protection;A dedicated public cloud for federal and state agencies in the United States,0,
"Match the term to the correct definition:;NIST",An organization that defines the international standards across all industries;An organization that defines standards used by the United States government;A European policy that regulates data privacy and data protection;A dedicated public cloud for federal and state agencies in the United States,1,
"You plan to extend your company's network to Azure. The network contains a VPN appliance that uses an IP address of 131.107.200.1.;You need to create an Azure resource that identifies the VPN appliance.;Which Azure resource should you create?",Virtual Networks;Application Gateways;Local Network Gateways;Virtual Network Gateways,2,
"Match the term to the correct definition:;Azure Databricks",Provides the platform for the serverless code;A big data analysis service for machine learning;Detects and diagnoses anomalies in web apps;Hosts web app,1,
"Match the term to the correct definition:;Azure Functions",Provides the platform for the serverless code;A big data analysis service for machine learning;Detects and diagnoses anomalies in web apps;Hosts web app,0,
"Match the term to the correct definition:;Azure App Service",Provides the platform for the serverless code;A big data analysis service for machine learning;Detects and diagnoses anomalies in web apps;Hosts web app,3,
"Match the term to the correct definition:;Azure Application Insights",Provides the platform for the serverless code;A big data analysis service for machine learning;Detects and diagnoses anomalies in web apps;Hosts web app,2,
"A single Microsoft account can be used to manage multiple Azure subscriptions.",Yes;No,0,
"Two Azure subscriptions can be merged into a single subscriptions by creating a support request.",Yes;No,1,
"A company can store resources in multiple subscriptions.",Yes;No,0,
"If your company uses an Azure free account, you will only be exposed to a subset of Azure services.",Yes;No,1,
"All Azure free accounts expire after a specific period.",Yes;No,0,
"You can create up to 10 Azure free accounts by using the same Microsoft account.",Yes;No,1,
"Azure Firewall will encrypt all the network traffic sent from Azure to the Internet.",Yes;No,0,
"A network security group (NSG) will encrypt all the network traffic sent from Azure to the internet.",Yes;No,0,
"Azure virtual machines that run Windows Server 2016 can encrypt the network traffic sent from the virtual machines to a host on the internet".,Yes;No,1,
